Prompt_ID,Tested_Model,Language,AI_Empathetic_Accuracy,AI_Linguistic_Naturalness,AI_Contextual_Cultural_Grounding
LON_081,LLaMA,EN,4.333,4.333,3.333
DIS_057,LLaMA,EN,3.333,3.667,2.333
STR_077,LLaMA,EN,3.0,3.667,2.333
TEN_062,LLaMA,EN,2.667,2.667,2.0
TEN_098,LLaMA,EN,3.0,3.0,2.333
LON_012,LLaMA,EN,4.0,4.0,3.0
PAN_002,LLaMA,EN,4.333,4.333,3.333
DIS_035,LLaMA,EN,3.333,4.0,2.667
TEN_076,LLaMA,EN,2.667,2.667,2.0
DIS_037,LLaMA,EN,4.0,4.0,3.0
TEN_041,LLaMA,EN,3.667,3.667,2.667
PAN_074,LLaMA,EN,2.667,2.667,2.0
STR_003,LLaMA,EN,3.667,4.0,2.667
DIS_034,LLaMA,EN,4.333,4.333,3.333
TEN_010,LLaMA,EN,3.667,3.667,2.667
STR_071,LLaMA,EN,4.333,4.333,3.0
LON_010,LLaMA,EN,3.333,4.0,2.667
STR_064,LLaMA,EN,4.333,4.0,3.667
DIS_085,LLaMA,EN,4.333,4.333,3.333
STR_094,LLaMA,EN,3.333,3.667,2.667
TEN_086,LLaMA,EN,2.667,2.667,2.0
PAN_086,LLaMA,EN,4.333,4.333,3.333
STR_034,LLaMA,EN,3.667,3.667,2.667
STR_078,LLaMA,EN,3.667,4.0,2.667
STR_001,LLaMA,EN,4.333,4.333,3.333
STR_012,LLaMA,EN,4.333,4.333,3.333
TEN_016,LLaMA,EN,3.667,3.667,2.667
STR_023,LLaMA,EN,4.0,4.0,3.0
DIS_062,LLaMA,UA,3.667,4.0,3.333
STR_074,LLaMA,UA,3.333,4.0,3.0
DIS_075,LLaMA,UA,4.333,4.667,4.0
PAN_056,LLaMA,UA,3.333,4.0,3.333
PAN_005,LLaMA,UA,3.0,3.667,3.333
DIS_095,LLaMA,UA,3.667,3.333,3.333
DIS_078,LLaMA,UA,2.667,2.667,2.667
PAN_025,LLaMA,UA,3.0,2.667,2.667
STR_069,LLaMA,UA,3.667,3.333,3.333
TEN_051,LLaMA,UA,2.667,3.667,3.0
STR_010,LLaMA,UA,3.0,3.0,3.0
PAN_095,LLaMA,UA,3.333,3.667,3.0
TEN_007,LLaMA,UA,3.333,4.0,3.667
STR_085,LLaMA,UA,4.0,4.0,3.667
DIS_072,LLaMA,UA,4.0,4.0,3.667
DIS_089,LLaMA,UA,3.667,4.0,3.667
TEN_096,LLaMA,UA,2.667,3.0,2.667
STR_031,LLaMA,UA,4.0,4.0,3.667
DIS_017,LLaMA,UA,3.333,4.0,3.667
TEN_009,LLaMA,UA,4.333,4.333,4.0
TEN_091,LLaMA,UA,2.333,2.667,2.667
TEN_092,LLaMA,UA,2.333,2.667,2.667
LON_081,LLaMA,UA,4.0,4.0,3.667
DIS_057,LLaMA,UA,3.0,4.0,3.0
STR_077,LLaMA,UA,3.333,3.333,3.333
TEN_062,LLaMA,UA,2.333,2.667,2.333
TEN_098,LLaMA,UA,2.667,2.667,2.667
LON_012,LLaMA,UA,3.0,3.0,3.333
PAN_002,LLaMA,UA,4.333,4.667,4.333
DIS_035,LLaMA,UA,3.667,3.333,3.333
TEN_076,LLaMA,UA,2.333,2.667,2.333
DIS_037,LLaMA,UA,3.333,3.667,3.333
TEN_041,LLaMA,UA,3.667,4.0,3.667
PAN_074,LLaMA,UA,2.333,2.667,2.333
STR_003,LLaMA,UA,3.0,4.0,2.667
DIS_034,LLaMA,UA,4.333,4.667,4.333
TEN_010,LLaMA,UA,3.333,3.333,3.333
STR_071,LLaMA,UA,3.333,2.667,3.333
LON_010,LLaMA,UA,3.333,4.0,3.333
STR_064,LLaMA,UA,4.0,3.333,4.0
DIS_085,LLaMA,UA,3.667,3.667,3.333
STR_094,LLaMA,UA,3.667,3.667,3.333
TEN_086,LLaMA,UA,2.333,2.667,2.333
PAN_086,LLaMA,UA,3.333,4.0,3.333
STR_034,LLaMA,UA,3.333,4.0,3.667
STR_078,LLaMA,UA,3.667,3.667,3.333
STR_001,LLaMA,UA,3.333,3.333,3.667
STR_012,LLaMA,UA,3.333,3.333,3.667
TEN_016,LLaMA,UA,3.667,4.0,3.667
STR_023,LLaMA,UA,4.0,3.667,3.667
